type,title,duration,director,cast,genre,country,year_range,ratings,description
Movie,7:19,93,Jorge Michel Grau,Demián Bichir,dramas,Mexico,2015-2020,6.0,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive."
Movie,23:59,78,Gilbert Chan,Tedd Chan,dramas,Singapore,2010-2015,4.7,"When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp."
Movie,9,80,Shane Acker,Elijah Wood,fantasy,United States,2005-2010,7.1,"In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group."
TV Show,46,1,Serdar Akar,Erdal Beşikçioğlu,dramas,Turkey,2015-2020,5.75,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.
Movie,122,95,Yasir Al Yasiri,Amina Khalil,dramas,Egypt,2015-2020,7.1,"A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect."
Movie,187,119,Kevin Reynolds,Samuel L. Jackson,dramas,United States,1995-2000,6.05,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them."
Movie,706,118,Shravan Kumar,Divya Dutta,dramas,India,2015-2020,5.3,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment."
Movie,1920,143,Vikram Bhatt,Rajneesh Duggal,thrillers,India,2005-2010,6.4,"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on."
Movie,1922,103,Zak Hilditch,Thomas Jane,thrillers,United States,2015-2020,6.3,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.
Movie,3022,91,John Suits,Omar Epps,thrillers,United States,2015-2020,4.7,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades."
Movie,Oct-01,149,Kunle Afolayan,Sadiq Daba,thrillers,Nigeria,2010-2015,6.125,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio."
Movie,22-Jul,144,Paul Greengrass,Anders Danielsen Lie,thrillers,Norway,2015-2020,6.775,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds."
Movie,15-Aug,124,Swapnaneel Jayakar,Rahul Pethe,dramas,India,2015-2020,6.125,"Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women."
Movie,​​Kuch Bheege Alfaaz,110,Onir,Geetanjali Thapa,sport,India,2015-2020,7.5,"After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story."
Movie,​Goli Soda 2,128,Vijay Milton,Samuthirakani,dramas,India,2015-2020,7.3,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
Movie,​Maj Rati ​​Keteki,117,Santwana Bardoloi,Adil Hussain,dramas,India,2015-2020,7.0,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game."
Movie,​Mayurakshi,100,Atanu Ghosh,Soumitra Chatterjee,dramas,India,2015-2020,7.1,"After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond."
Movie,#Alive,99,Cho Il,Yoo Ah-in,thrillers,South Korea,2015-2020,6.85,"A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks."
Movie,#AnneFrank - Parallel Stories,95,"Sabina Fedeli, Anna Migotto",Helen Mirren,thrillers,Italy,2015-2020,6.775,"When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them."
Movie,#FriendButMarried,102,Rako Prijanto,Adipati Dolken,romantic,Indonesia,2015-2020,7.0,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.
Movie,#FriendButMarried 2,104,Rako Prijanto,Adipati Dolken,romantic,Indonesia,2015-2020,6.9,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?"
Movie,#realityhigh,99,Fernando Lebrija,Nesta Cooper,commedies,United States,2015-2020,5.2,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out."
Movie,#Roxy,105,Michael Kennedy,Jake Short,romantic,Canada,2015-2020,5.6,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren."
Movie,#Selfie,125,Cristina Jacob,Flavia Hojda,dramas,Romania,2010-2015,6.1,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series."
Movie,#Selfie 69,119,Cristina Jacob,Maia Morgenstern,dramas,Romania,2015-2020,6.3,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers."
Movie,"¡Ay, mi madre!",81,Frank Ariza,Estefanía de los Santos,commedies,Spain,2015-2020,3.8,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage."
Movie,Çarsi Pazar,97,Muharrem Gülmez,Erdem Yener,commedies,Turkey,2010-2015,5.3,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
Movie,Ég man þig,106,Óskar Thór Axelsson,Jóhannes Haukur Jóhannesson,commedies,Iceland,2015-2020,6.2,A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.
Movie,Çok Filim Hareketler Bunlar,99,Ozan Açıktan,Ayça Erturan,commedies,Turkey,2005-2010,4.4,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.
Movie,Òlòtūré,107,Kenneth Gyang,Beverly Osu,commedies,Nigeria,2015-2020,5.250000000000001,"Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang."
Movie,Æon Flux,93,Karyn Kusama,Charlize Theron,fantasy,United States,2000-2005,5.6,"After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days."
Movie,1 Chance 2 Dance,89,Adam Deyoe,Lexi Giovagnoli,romantic,United States,2010-2015,5.925000000000001,"When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance."
Movie,1 Mile to You,105,Leif Tilden,Billy Crudup,romantic,United States,2015-2020,6.025,The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.
Movie,10 Days in Sun City,87,Adze Ugah,Ayo Makun,romantic,South Africa,2015-2020,5.3,"Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret."
Movie,10 jours en or,97,Nicolas Brossette,Franck Dubosc,dramas,France,2010-2015,5.8,"Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off."
Movie,"10,000 B.C.",109,Roland Emmerich,Steven Strait,action,United States,2005-2010,4.7,"In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence."
Movie,100 Meters,109,Marcel Barrena,Dani Rovira,sport,Portugal,2015-2020,7.5,"When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream."
Movie,100% Halal,101,Jastis Arimba,Anisa Rahma,documentary,Indonesia,2015-2020,5.925,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa."
Movie,1000 Rupee Note,89,Shrihari Sathe,Usha Naik,documentary,India,2010-2015,7.3,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.
Movie,12 ROUND GUN,90,Sam Upton,Sam Upton,sport,United States,2015-2020,4.7,"Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette."
Movie,13 Cameras,90,Victor Zarcoff,PJ McCabe,thrillers,United States,2010-2015,5.1,"One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human."
Movie,13 Sins,93,Daniel Stamm,Mark Webber,thrillers,United States,2010-2015,6.3,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.
Movie,14 Blades,113,Daniel Lee,Donnie Yen,documentary,Hong Kong,2005-2010,6.3,"A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders."
Movie,14 Cameras,89,"Scott Hussion, Seth Fuller",Neville Archambault,thrillers,United States,2015-2020,4.5,"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly."
Movie,16 Blocks,102,Richard Donner,Bruce Willis,action,United States,2005-2010,5.175000000000001,"Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch."
Movie,17 Again,102,Burr Steers,Zac Efron,commedies,United States,2005-2010,7.0,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea."
Movie,18 Presents,114,Francesco Amato,Vittoria Puccini,commedies,Italy,2015-2020,6.7,"Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras."
Movie,1898: Our Last Men in the Philippines,130,Salvador Calvo,Luis Tosar,commedies,Spain,2015-2020,6.5,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice."
Movie,1BR,90,David Marmor,Nicole Brydon Bloom,thrillers,United States,2015-2020,5.8,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."""
Movie,1st Summoning,94,Raymond Wood,Hayley Lovitt,thrillers,United States,2015-2020,3.4,"A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake."
Movie,2 Alone in Paris,97,"Ramzy Bedia, Éric Judor",Ramzy Bedia,thrillers,France,2005-2010,5.4,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom."
Movie,2 States,143,Abhishek Varman,Alia Bhatt,dramas,India,2010-2015,6.9,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system."
Movie,20 Feet From Stardom,91,Morgan Neville,Darlene Love,musical,United States,2010-2015,7.4,"In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed."
Movie,2036 Origin Unknown,95,Hasraf Dulull,Katee Sackhoff,fantasy,United Kingdom,2015-2020,6.949999999999999,"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive."
Movie,20th Century Women,119,Mike Mills,Annette Bening,fantasy,United States,2015-2020,7.3,"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again."
Movie,21 & Over,93,"Jon Lucas, Scott Moore",Miles Teller,commedies,United States,2010-2015,6.25,A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.
Movie,2307: Winter's Dream,101,Joey Curtis,Paul Sidhu,fantasy,United States,2015-2020,4.4,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
Movie,24 Hours to Live,93,Brian Smrz,Ethan Hawke,action,South Africa,2015-2020,5.8,"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences."
Movie,26 Years,135,Geun-hyun Cho,Goo Jin,thrillers,South Korea,2010-2015,6.3,"Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support."
Movie,"27, el club de los malditos",82,Nicanor Loreti,Diego Capusotto,commedies,Argentina,2015-2020,5.749999999999999,"When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth."
Movie,27: Gone Too Soon,70,Simon Napier-Bell,Janis Joplin,documentary,United Kingdom,2015-2020,6.125,"The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium."
Movie,28 Days,104,Betty Thomas,Sandra Bullock,dramas,United States,1995-2000,6.8,"Working with an artificial intelligence to investigate the failure of a deadly Mars landing, a mission controller makes an astonishing discovery."
Movie,3 Days to Kill,117,McG,Kevin Costner,action,United States,2010-2015,6.3,Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash – the night before a crucial med school interview.
Movie,3 Deewarein,121,Nagesh Kukunoor,Naseeruddin Shah,thrillers,India,2000-2005,7.8,"In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z."
Movie,3 Generations,92,Gaby Dellal,Elle Fanning,thrillers,United States,2010-2015,5.9,"In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans."
Movie,3 Heroines,124,Iman Brotoseno,Reza Rahadian,sport,Indonesia,2015-2020,6.5,"Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence."
Movie,3 Idiots,164,Rajkumar Hirani,Aamir Khan,dramas,India,2005-2010,8.4,"In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion."
Movie,3 Türken & ein Baby,93,Sinan Akkuş,Kostja Ullmann,nature,Germany,2010-2015,5.5,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself."
Movie,30 Days of Luxury,91,Hani Hamdi,Taher Farouz,nature,Egypt,2015-2020,2.6,"Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over."
Movie,30 Minutes or Less,83,Ruben Fleischer,Jesse Eisenberg,commedies,United States,2010-2015,6.2,"Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator."
Movie,300 Miles to Heaven,93,Maciej Dejczer,Krzysztof Stroiński,commedies,Denmark,1980-1990,7.2,"After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27."
Movie,365 Days,114,"Barbara Białowąs, Tomasz Mandes",Anna-Maria Sieklucka,romantic,Poland,2015-2020,5.35,"Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse."
